"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 13, 2020","35,037.46","35,344.01","35,814.18","34,552.60","1.24B","-0.86%"
"Nov 12, 2020","35,342.46","33,291.27","35,342.46","33,291.27","1.19B","6.23%"
"Nov 11, 2020","33,268.36","32,648.02","33,268.36","32,585.04","858.16M","1.90%"
"Nov 10, 2020","32,647.10","32,243.05","32,647.10","32,226.71","578.78M","1.25%"
"Nov 09, 2020","32,243.05","31,016.17","32,243.05","31,016.17","636.01M","3.96%"
"Nov 06, 2020","31,016.17","30,738.92","31,016.17","30,509.12","497.95M","0.90%"
"Nov 05, 2020","30,738.92","30,741.88","30,772.77","30,722.48","430.12M","-0.01%"
"Nov 04, 2020","30,741.88","30,733.47","30,761.50","30,724.21","286.45M","0.03%"
"Nov 03, 2020","30,733.47","30,479.39","30,735.46","30,408.13","336.04M","0.83%"
"Nov 02, 2020","30,479.39","30,527.69","30,554.27","30,364.15","376.11M","-0.17%"
"Oct 30, 2020","30,530.69","29,439.35","30,530.69","29,439.35","807.80M","3.71%"
"Oct 28, 2020","29,437.60","28,980.29","29,444.12","28,971.44","375.25M","1.58%"
"Oct 27, 2020","28,980.29","28,777.96","28,980.29","28,775.59","385.57M","0.70%"
"Oct 26, 2020","28,777.96","28,697.06","28,777.96","28,685.54","340.80M","0.28%"
"Oct 23, 2020","28,697.06","28,563.87","28,706.33","28,559.72","282.56M","0.47%"
"Oct 22, 2020","28,563.87","28,449.49","28,567.14","28,413.11","311.32M","0.40%"
"Oct 21, 2020","28,449.49","28,645.21","28,645.21","28,250.71","326.56M","-0.75%"
"Oct 20, 2020","28,665.82","28,658.31","28,720.49","28,567.07","297.29M","0.02%"
"Oct 19, 2020","28,659.07","28,650.44","28,680.68","28,588.24","287.30M","-0.00%"
"Oct 16, 2020","28,659.45","28,344.04","28,680.87","28,313.57","489.09M","1.11%"
"Oct 15, 2020","28,344.04","28,354.14","28,364.47","28,333.06","330.66M","-0.00%"
"Oct 14, 2020","28,344.33","28,344.04","28,381.27","28,332.51","218.42M","0.00%"
"Oct 13, 2020","28,344.04","28,337.49","28,351.51","28,299.61","535.83M","0.02%"
"Oct 12, 2020","28,337.49","28,415.31","28,440.82","28,170.72","369.06M","-0.27%"
"Oct 09, 2020","28,415.31","28,546.22","28,721.73","28,371.70","384.04M","-0.46%"
"Oct 08, 2020","28,546.22","28,634.35","28,664.83","28,398.74","568.74M","-0.31%"
"Oct 07, 2020","28,634.35","28,945.41","29,171.29","28,484.87","832.88M","-0.95%"
"Oct 06, 2020","28,909.37","27,561.51","28,909.37","27,561.51","749.47M","4.92%"
"Oct 05, 2020","27,554.56","26,985.77","27,563.91","26,985.77","603.89M","2.11%"
"Oct 02, 2020","26,985.77","26,831.76","26,985.77","26,830.59","459.79M","0.55%"
"Sep 30, 2020","26,837.42","26,612.12","26,862.21","26,612.12","322.76M","0.85%"
"Sep 29, 2020","26,611.96","26,507.84","26,611.96","26,427.58","413.10M","0.39%"
"Sep 28, 2020","26,507.84","26,319.34","26,512.05","26,319.34","336.73M","0.72%"
"Sep 25, 2020","26,319.47","25,987.14","26,327.17","25,987.14","335.74M","1.28%"
"Sep 24, 2020","25,987.14","25,783.02","26,021.75","25,783.02","359.27M","0.79%"
"Sep 23, 2020","25,783.02","25,654.90","25,785.41","25,631.12","414.16M","0.50%"
"Sep 22, 2020","25,654.90","25,574.35","25,655.18","25,525.93","262.05M","0.31%"
"Sep 21, 2020","25,574.35","25,572.57","25,592.86","25,564.36","196.11M","0.01%"
"Sep 18, 2020","25,572.57","25,532.74","25,572.57","25,505.27","193.49M","0.15%"
"Sep 17, 2020","25,533.35","25,550.31","25,551.56","25,507.84","231.19M","-0.10%"
"Sep 16, 2020","25,558.81","25,598.53","25,606.02","25,535.41","211.45M","-0.15%"
"Sep 15, 2020","25,597.96","25,605.59","25,618.65","25,573.96","245.14M","-0.03%"
"Sep 14, 2020","25,605.59","25,591.95","25,616.99","25,577.33","256.97M","0.05%"
"Sep 11, 2020","25,591.95","25,520.97","25,592.22","25,514.22","212.57M","0.28%"
"Sep 10, 2020","25,520.97","25,424.91","25,540.91","25,403.33","234.15M","0.38%"
"Sep 09, 2020","25,424.91","25,493.88","25,496.73","25,414.42","269.62M","-0.28%"
"Sep 08, 2020","25,497.32","25,585.67","25,596.21","25,490.01","251.96M","-0.33%"
"Sep 07, 2020","25,582.23","25,605.64","25,631.16","25,573.24","253.96M","-0.09%"
"Sep 04, 2020","25,605.64","25,534.87","25,618.48","25,529.56","418.16M","0.37%"
"Sep 03, 2020","25,511.02","25,460.00","25,511.02","25,460.00","229.41M","0.20%"
"Sep 02, 2020","25,460.00","25,404.12","25,461.66","25,388.82","178.29M","0.18%"
"Sep 01, 2020","25,413.76","25,327.13","25,417.61","25,327.13","-","0.34%"
"Aug 31, 2020","25,327.13","25,303.68","25,334.11","25,289.10","127.28M","0.07%"
"Aug 28, 2020","25,309.37","25,304.25","25,312.81","25,289.35","137.05M","0.05%"
"Aug 27, 2020","25,297.55","25,330.10","25,330.10","25,291.33","249.13M","-0.13%"
"Aug 26, 2020","25,330.10","25,295.01","25,332.51","25,283.31","180.55M","0.15%"
"Aug 25, 2020","25,291.78","25,228.38","25,291.78","25,201.79","251.34M","0.25%"
"Aug 24, 2020","25,229.12","25,221.87","25,232.68","25,159.82","251.19M","0.03%"
"Aug 21, 2020","25,221.87","25,203.36","25,273.33","25,203.36","158.60M","0.07%"
"Aug 20, 2020","25,204.58","25,174.60","25,204.58","25,172.10","179.55M","0.13%"
"Aug 19, 2020","25,171.32","25,136.49","25,180.40","25,131.56","180.01M","0.14%"
"Aug 18, 2020","25,136.49","25,139.57","25,151.36","25,123.28","271.00M","-0.03%"
"Aug 17, 2020","25,143.68","25,199.84","25,234.49","25,143.68","161.23M","-0.22%"
"Aug 14, 2020","25,199.84","25,236.97","25,236.97","25,168.43","482.42M","-0.15%"
"Aug 13, 2020","25,236.97","25,141.48","25,239.91","25,067.72","258.05M","0.38%"
"Aug 12, 2020","25,141.48","24,883.70","25,147.52","24,852.43","204.42M","1.04%"
"Aug 11, 2020","24,883.70","25,027.61","25,067.18","24,825.09","205.97M","-0.58%"
"Aug 10, 2020","25,027.61","25,041.89","25,046.29","24,952.17","175.23M","-0.06%"
"Aug 07, 2020","25,041.89","24,944.45","25,047.70","24,944.45","166.94M","0.45%"
"Aug 06, 2020","24,930.34","24,882.04","24,931.91","24,820.50","173.72M","0.19%"
"Aug 05, 2020","24,882.04","24,841.94","24,910.02","24,841.94","303.28M","0.16%"
"Aug 04, 2020","24,841.94","24,766.12","24,868.82","24,764.26","154.47M","0.31%"
"Aug 03, 2020","24,766.12","24,710.93","24,776.08","24,690.75","186.47M","0.29%"
"Jul 29, 2020","24,693.73","24,650.16","24,713.57","24,646.84","101.53M","0.18%"
"Jul 28, 2020","24,650.16","24,799.05","24,800.81","24,646.53","150.37M","-0.54%"
"Jul 27, 2020","24,783.61","24,427.73","24,788.17","24,427.73","170.00M","1.46%"
"Jul 24, 2020","24,427.73","24,512.27","24,536.82","24,409.99","174.19M","-0.34%"
"Jul 23, 2020","24,512.27","24,173.53","24,615.65","24,170.97","164.07M","1.40%"
"Jul 22, 2020","24,173.53","24,174.45","24,192.52","24,166.96","266.06M","-0.00%"
"Jul 21, 2020","24,174.45","24,269.58","24,303.76","24,130.23","304.19M","-0.41%"
"Jul 20, 2020","24,273.42","24,287.66","24,301.11","24,273.42","305.10M","-0.06%"
"Jul 17, 2020","24,287.66","24,323.50","24,336.59","24,256.64","160.47M","-0.17%"
"Jul 16, 2020","24,330.06","24,129.84","24,330.51","24,112.40","207.40M","0.82%"
"Jul 15, 2020","24,132.30","24,114.59","24,210.22","24,071.13","208.21M","0.06%"
"Jul 14, 2020","24,117.40","24,200.60","24,207.00","24,095.41","208.20M","-0.34%"
"Jul 13, 2020","24,200.60","24,306.36","24,306.36","24,162.70","231.23M","-0.44%"
